Date,^GSPC,MMM,ADBE,AMZN,ADSK,SAM,KMX,CMG,CB,CTSH,CL,COST,DIS,FDX,JWN,QCOM,SLB,LUV,SBUX,TROW,UPS
1999-01-04,-0.11874072483924161,-0.27772753857844207,-0.1714918650924603,-0.1062020938891535,-0.18222045363266276,-0.24731244348357287,-0.3209184277408776,,-0.242879302211311,-0.3129246389767755,-0.3479883603679117,-0.21503621569570655,-0.18590505812586736,-0.24738949253348538,-0.25859841875871564,-0.49033038447010735,-0.3504106306863059,-0.18421767297025066,-0.28958991767279935,-0.2797727482172266,
1999-01-05,-0.11134124567229291,-0.2767496336633239,-0.17198281545142263,-0.10468073213338584,-0.18232263207913726,-0.24750766447745554,-0.3205276134416922,,-0.24862287407704206,-0.3127395264694067,-0.3437319091840862,-0.21186757497117817,-0.1767797485404637,-0.24957339224471584,-0.24821911750792244,-0.48910672709417263,-0.35072060441062186,-0.1737919492119111,-0.29135979573096654,-0.2657053107812435,
1999-01-06,-0.09911531524774737,-0.26892639434237847,-0.17279143957206644,-0.10136139739352915,-0.18089213382849412,-0.2477028854713382,-0.3209184277408776,,-0.2455301815339561,-0.31264697021572235,-0.3458601347759989,-0.2055302935221214,-0.17335775303510342,-0.24276476373323266,-0.23867016035719268,-0.4874298632827065,-0.33305210212461295,-0.1715254787290802,-0.2917727672778722,-0.27084533599823735,
1999-01-07,-0.10027313719302469,-0.2729777147050109,-0.17232936864598428,-0.0962287223791211,-0.18099431227496865,-0.24809332745910354,-0.32209087063843356,,-0.2525991930610097,-0.31280123040314695,-0.35224481155173715,-0.20668252651285898,-0.1659434412023799,-0.2459763809556304,-0.24531291315770035,-0.4870672981342814,-0.32282296922218673,-0.16563268037383222,-0.2915957794720555,-0.271115863641237,
1999-01-08,-0.09789538106397637,-0.2721395104920525,-0.17201169488430276,-0.0958906419889505,-0.18099431227496865,-0.2486789904407515,-0.32248168493761886,,-0.24597199475439696,-0.31258526628198213,-0.3663443060981591,-0.20999519636122957,-0.15852912936965635,-0.2446917340666713,-0.24780394545789072,-0.4868406949165157,-0.3293324174328216,-0.1434213287798562,-0.2905338526371552,-0.27517377828623213,
1999-01-11,-0.10286825908084686,-0.26892639434237847,-0.17192505658566234,-0.08989739870865368,-0.18314005965093333,-0.24985031640404748,-0.3236541278351749,,-0.24773924763616034,-0.31215333662735617,-0.3708667854809737,-0.21273174971423137,-0.13400485765346704,-0.24636177502231812,-0.23950050445725612,-0.4855717168970278,-0.3253027590167143,-0.15475365006887026,-0.2904158607666107,-0.2773379994302295,
1999-01-12,-0.11367909184513389,-0.2707425034704551,-0.17206945375006302,-0.09512227746583553,-0.18528580702689804,-0.2492646534223995,-0.32482657073273086,,-0.2464138079748378,-0.3128629350430353,-0.37139884187895184,-0.21316383708575795,-0.10891024747193917,-0.2500872510002995,-0.251955665958208,-0.48638748848098434,-0.33460197074619263,-0.16155304595479278,-0.290238872960794,-0.2762558888582308,
1999-01-13,-0.11594594486656667,-0.27633053155684467,-0.17189617715278221,-0.09890263091956121,-0.1871250190634392,-0.2457506755325116,-0.3252173850319162,,-0.25348281950189144,-0.3128937866568314,-0.39746960537988296,-0.21157951672349376,-0.12602018971206938,-0.2536842622893849,-0.25942876285877914,-0.48783774907468475,-0.34452112992430295,-0.15928657547196184,-0.2906813424753358,-0.2813959140752247,
1999-01-14,-0.12579861377042917,-0.2833155666648317,-0.17253152467614521,-0.10136139739352915,-0.18528580702689804,-0.24301758161815432,-0.3252173850319162,,-0.2525991930610097,-0.31267782253566656,-0.40784470514045756,-0.21287577883807357,-0.12659052817740796,-0.2644752961566412,-0.2573529026086205,-0.48661409169875003,-0.34886076206472616,-0.1601931574400661,-0.29065184450769965,-0.2884296327932162,
1999-01-15,-0.11201554523090071,-0.2778672392806018,-0.17195393601854247,-0.10077744035596176,-0.1817095614002902,-0.24262713963038898,-0.32443575643354555,,-0.25436644594277313,-0.31230759752092896,-0.4075786769414685,-0.20855490512280758,-0.1271608666427465,-0.26293371988989034,-0.24863428955795416,-0.48421209759043365,-0.34266128757840725,-0.15928657547196184,-0.2908878282487886,-0.2841011905052214,
