Date,^GSPC,ABT,FNMA,PG,KMB,KR,NUE,PM,PBI,WBA,WFC
1999-01-31,,,,,,,,,,,
1999-02-28,-0.0017558174956547878,-0.01784518850067507,-0.004745887665299708,0.015784934948070983,-0.06508761950918607,0.07785310734463269,-0.024211041914491638,,0.03715958259099006,0.08853327193184435,-0.05997186071051697
1999-03-31,0.028142389261932133,0.05481213444019195,-0.01649758454106276,0.05434943092457911,0.01898236866072689,0.0173885695793472,-0.05353952640029924,,-0.04972632702053881,-0.04486699009035933,0.07329483060153708
1999-04-30,0.04142485957759634,0.04359621877948827,-0.00442192742706049,0.03616530191230871,0.11005179275681365,-0.09867535710232345,0.24803810239123503,,0.03841543443898576,-0.089505688847072,0.08285762285330311
1999-05-31,-0.0020098422417703654,-0.06585567473628828,-0.00843814168377821,-0.0407070583560053,0.12548191258366548,-0.06761998345055853,0.029237613973415177,,0.021838718387183764,-0.05779599471830987,0.023084765511214744
1999-06-30,-0.007147708592162738,-0.06285741037504022,-0.05023164830639337,-0.04420286107976401,-0.048523982733047255,0.04569280457457525,-0.1598320988660561,,-0.0423143858823134,0.02770191182208359,-0.011720342437831377
1999-07-31,0.044185207868278065,-0.028489459751090296,0.05830521388076293,-0.012309196094700048,-0.012177498347368365,0.03287281494876404,0.0469203384985839,,0.03773237852774347,0.0975056689342404,0.03260213026120007
1999-08-31,-0.03874130064552794,-0.007370579095146379,-0.06598108304263328,0.0825270425776754,0.038691350019543824,-0.14761522372450875,-0.0003971274448160145,,-0.12125307669686625,-0.11503416856492032,-0.058304323841047
1999-09-30,-0.0070183266155274815,0.0010054831535992736,-0.03482287769694015,0.04422021807502663,-0.06439022302895248,-0.021306429173924002,-0.034169287645533286,,0.03909689989112364,-0.03708903708903699,-0.027337858220211064
1999-10-31,-0.013778092404136522,-0.09675844891988095,0.031138408798742967,-0.01651337792642138,0.005502434415221247,-0.10354592464910117,-0.029442262372348704,,-0.11098709113850325,0.011300121506682803,0.08894303990252794
1999-11-30,0.06999395224508431,-0.01852281565401026,0.06662972710901816,0.10756034613632925,0.16188502695998097,0.04546078835324807,0.10185185185185186,,-0.12664446749276703,0.11630421722936446,0.09566433566433563
1999-12-31,0.027089265034297982,-0.035903086402791606,-0.07677685950413238,0.01466003327082066,-0.008953637994856156,-0.2254663688912245,0.07677349388579313,,-0.05365818318190341,0.07785760413303189,-0.0842626546290064
2000-01-31,-0.0021688412386361433,-0.09494131256168026,-0.0706964461552233,-0.011965260897878083,-0.0016053445899323338,0.023508459483526423,-0.03053761200250049,,0.03734199161491647,-0.029200524246395743,-0.10527576342226075
2000-02-29,-0.02575152772793554,0.020344425894855522,-0.06394701986754969,-0.14471115194670958,-0.10964188536052188,-0.09065599443187744,-0.0712259132285139,,0.05348308597406071,-0.029052813478777417,-0.04703091771634216
2000-03-31,0.03840382930550157,-0.021970973481006184,0.01154383754466437,-0.32677880208546184,-0.10401394661984165,-0.02294547330238439,0.00011344801728840892,,-0.053013790096955504,-0.07547032935145337,0.009318102943207007
2000-04-30,0.013273118008003904,0.1634147976516822,0.09763260006824548,0.0340021635043295,0.13714944297501974,0.20557866054782714,-0.03851844085645717,,-0.08080132736713286,0.061779091360866234,0.12857734975958013
2000-05-31,-0.029339689210811093,0.035793118753761455,-0.036078752756151355,-0.015963546834403375,0.021070069195435526,0.031992289516229455,-0.12066006308029431,,-0.056468491220237116,0.01071336595415917,0.03187009690816822
2000-06-30,0.03065221645010796,0.04041633392723876,-0.01301682692307704,-0.09659059266437209,-0.035539945842153364,-0.014417572982255322,-0.12305850153951425,,0.006883714396094698,0.03674259797176793,-0.013674986723313909
2000-07-31,0.007553841017565732,0.019945677632173142,-0.07908472058160909,-0.00658373300127002,0.003844209353759842,0.10930342299176021,-0.012647758748488225,,-0.08190728661620572,0.09313311049940998,0.0018306636155607237
2000-08-31,0.00845603517550475,-0.014936577625597636,0.03072089369872577,0.058970173616263555,0.019390062434438304,-0.0033271464476528623,0.0530363729817982,,-0.04261698137891945,0.051912832721493496,0.043340102044750584
2000-09-30,-0.01171642034989051,0.08802957689134794,0.13478690375388114,0.03807465949218103,-0.07369405166839971,0.040536381622334305,-0.10071960520412726,,0.05333181498984607,0.11245272218019764,0.031538224651628255
2000-10-31,-0.05307019414295355,0.10293471536876764,0.1579600710441018,0.15833646626091036,0.09324289804031438,-0.04698799742531512,-0.0861525109735134,,-0.23196322947669823,0.08654385600873016,-0.024789132419378745
2000-11-30,-0.01086685151169986,0.06446601658577311,0.059811130575795124,-0.009560939385500955,0.11131685408550962,0.16568603338567578,0.11247939957646835,,-0.0006867458059452991,0.07740705562179606,0.031257334272120296
2000-12-31,-0.03207774468627256,-0.05949041014913914,0.08490001544163062,0.01904123711340211,0.019532917276904094,0.029504879790525962,0.12647691117034987,,0.05885529157667402,-0.06474896836313615,0.12155211652253084
2001-01-31,0.0035385474884923607,-0.10999163954085345,-0.07509771966709822,-0.0231108726586291,-0.03705369051693741,-0.06840079188957371,0.020467491407907934,,0.11352711581190333,-0.04431281563567435,-0.014584004395031047
2001-02-28,-0.02237691007283904,0.08443956179107626,0.03536553882726734,0.03234519859900087,0.05504046249457395,0.02105827276371186,0.09001691520105282,,0.030305285892833878,0.1017150028046141,-0.012723131712048974
2001-03-31,-0.09182571432656206,-0.03705504410914151,-0.027595412249326046,-0.11428935180941646,0.0029261392088559823,-0.016508491598896224,0.005533619331116846,,-0.004162915775624443,-0.010845998591919481,-0.0319973388829321
