Date,^GSPC,ABT,FNMA,PG,KMB,KR,NUE,PM,PBI,WBA,WFC
1999-01-04,-0.11874072483924161,-0.12835495771983724,0.4684135787736888,-0.2508265825492144,-0.25272970470413575,-0.044194581779716705,-0.3578966881396498,,0.5083354417823087,-0.24374401092829015,-0.25115589403591165
1999-01-05,-0.11134124567229291,-0.1278948201227728,0.472693301447543,-0.239638297033783,-0.2558336239341845,-0.04673282467549491,-0.35580134147692416,,0.5322031572998841,-0.24955564743213535,-0.24845307447414292
1999-01-06,-0.09911531524774737,-0.13065573955333337,0.5012247859399048,-0.23203026288328962,-0.25459206414591,-0.0463097841928652,-0.3518201828177455,,0.5560708728174595,-0.24664982918021275,-0.2516964579482654
1999-01-07,-0.10027313719302469,-0.13525730322032564,0.4990849246029777,-0.24456114266057283,-0.2552128242806847,-0.05011714853653251,-0.34972483615501987,,0.5302937400584781,-0.2586882190810349,-0.2506153301235579
1999-01-08,-0.09789538106397637,-0.13663777857696824,0.4705534401106159,-0.25664449101723874,-0.24465954632098905,-0.049694108053902813,-0.33903856817511924,,0.5197919452307449,-0.2628393880123529,-0.2516964579482654
1999-01-11,-0.10286825908084686,-0.1412393422439605,0.4291827875966912,-0.2705179650563737,-0.25831674351073347,-0.049694108053902813,-0.3398767068402095,,0.5322031572998841,-0.2719719596612525,-0.2646699918447554
1999-01-12,-0.11367909184513389,-0.14446043055431015,0.43702894583209073,-0.26201486806464586,-0.2688700214704291,-0.04927106757127311,-0.34511507349702353,,0.5131089848858238,-0.2595184528672985,-0.27440014226712295
1999-01-13,-0.11594594486656667,-0.1334166902666186,0.44986811385365355,-0.26514758800896665,-0.26824926133565447,-0.04927106757127311,-0.3499343708212925,,0.5102448590237147,-0.23834749131757677,-0.27926521747830674
1999-01-14,-0.12579861377042917,-0.13801825393361086,0.42846950048438215,-0.2852865019367432,-0.2657661417591055,-0.05603971529334832,-0.35202971748401807,,0.5045166072994967,-0.25163123189779435,-0.28683311225125924
1999-01-15,-0.11201554523090071,-0.13663777857696824,0.457000984976744,-0.2749932792625463,-0.25707518372245897,-0.0412332984013088,-0.3484676281573845,,0.5207466538514479,-0.24291377714202655,-0.2716973227053542
1999-01-19,-0.10813837692081389,-0.14584090591095278,0.4548611236398169,-0.2763358735243981,-0.27321550048875237,-0.0454637032276058,-0.350143905487565,,0.5159731107479328,-0.24581959539394915,-0.27764352574124546
1999-01-20,-0.10608888965815493,-0.14215964872081405,0.45842755920136213,-0.288419221881064,-0.273836260623527,-0.05054018901916221,-0.3539155294804711,,0.5379314090241022,-0.23668702374504957,-0.2727784505300617
1999-01-21,-0.11560879508726277,-0.15596430843906617,0.4356023716074726,-0.2758883421037808,-0.28128565887189905,-0.049694108053902813,-0.34637228149465893,,0.5197919452307449,-0.23876260821070855,-0.2749407061794767
1999-01-22,-0.12003165217442081,-0.16148620986563664,0.44986811385365355,-0.2843914390955087,-0.30177141513779054,-0.05350147239757012,-0.35412506414674366,,0.4930601038510604,-0.23336608859999516,-0.2781840896535992
1999-01-25,-0.11613228158204768,-0.16746821760654684,0.47126672722292495,-0.2964747874521746,-0.2918389368315947,-0.049694108053902813,-0.3474199548260217,,0.5102448590237147,-0.23378120549312698,-0.28196803704007545
1999-01-26,-0.10800083107445477,-0.151822913651863,0.4684135787736888,-0.2826013134130397,-0.2918389368315947,-0.030234245852936582,-0.3444864694982059,,0.5150184021272298,-0.2263091014167546,-0.2862925483389055
1999-01-27,-0.11205545518710806,-0.1504424382952204,0.44558839117979926,-0.27723093636563256,-0.2893558172550457,-0.02135039571771287,-0.3493057668224748,,0.4911506866096544,-0.22879980277554537,-0.29331987919950425
1999-01-28,-0.10220728089161085,-0.1483717409016188,0.4662737174367616,-0.2664901822708184,-0.29742597563819245,-0.02092735523508317,-0.34301972683429793,,0.5322031572998841,-0.221327698699173,-0.28845480398832046
1999-01-29,-0.09587692284461023,-0.1453807370311637,0.4769730241213973,-0.24456114266057283,-0.28625189802499695,-0.0069670193083030485,-0.34176251883666253,,0.5866215486799561,-0.2063834905464282,-0.29331987919950425
1999-02-01,-0.09882251588110809,-0.14998230069815596,0.4677002916613797,-0.24635126834304186,-0.28625189802499695,0.004878114205328569,-0.34029577617275464,,0.5742103366108169,-0.2084590750120872,-0.3019689017971643
1999-02-02,-0.10370669307264933,-0.14768151886465983,0.46698700454907066,-0.2615673366440286,-0.29556361619641813,0.0006477093790315624,-0.34155298417039,,0.5656179590244897,-0.2142707115159324,-0.300347210060103
