Date,^GSPC,mean
1999-01-31,0.0,0.0
1999-02-28,-0.0017558174956547878,-0.020385265507014846
1999-03-31,0.026337158866841515,-0.016097824426700453
1999-04-30,0.06885303155216982,0.02947933449545514
1999-05-31,0.06670480557911196,0.07573577557136489
1999-06-30,0.059080310474972864,0.08653668638712385
1999-07-31,0.10587599414251003,0.12587362981683012
1999-08-31,0.06303291977676295,0.09606117650417052
1999-09-30,0.05557220754271208,0.06893708448362183
1999-10-31,0.04102843612795004,0.03829191737172222
1999-11-30,0.1138941307720649,0.0915672065986528
1999-12-31,0.14406870410069783,0.12157713463764606
2000-01-31,0.14158740071541143,0.14238260582385734
2000-02-29,0.11218978111202671,0.11859249620212768
2000-03-31,0.15490212762117617,0.13832046515321683
2000-04-30,0.17023127984878683,0.19545079420703101
2000-05-31,0.13589705779325367,0.1849041923126764
2000-06-30,0.17071482027377338,0.20314889592404115
2000-07-31,0.17955821390302962,0.22161973178579758
2000-08-31,0.18953259965134928,0.2161099570691738
2000-09-30,0.17559553569393604,0.20240437981919462
2000-10-31,0.11320645238106941,0.14398444760928525
2000-11-30,0.10110940316117789,0.17362255661367187
2000-12-31,0.06578829685492016,0.17014715553208387
2001-01-31,0.0695596393560205,0.18608073363464475
2001-02-28,0.045626199488612906,0.18065467117797201
2001-03-31,-0.050389173197997406,0.12426477233115148
2001-04-30,-0.04719645114719517,0.1135756558723609
2001-05-31,0.017292070208677845,0.1964216345191403
2001-06-30,-0.008059314749332414,0.17895596981630213
2001-07-31,-0.03549496400579,0.12074656633718168
2001-08-31,-0.05627180454099601,0.10504265838535846
2001-09-30,-0.16346482306952914,-0.006188818976149625
2001-10-31,-0.1378825918346508,0.015246543002390204
2001-11-30,-0.0953666019682724,0.08084325555155665
2001-12-31,-0.0831572912058276,0.132810079624988
2002-01-31,-0.08693890744924637,0.13001649403166674
2002-02-28,-0.1186008911181391,0.11429518439269042
2002-03-31,-0.07606154192362358,0.1911592553342379
2002-04-30,-0.10949948864677306,0.19384894972920835
2002-05-31,-0.1357390184239683,0.17740043994280816
2002-06-30,-0.18796562859801558,0.11642912899373314
2002-07-31,-0.27642237466909225,0.018842994480062943
2002-08-31,-0.26924188323072107,0.01609746669477951
2002-09-30,-0.3050692161812186,-0.03023178447161429
2002-10-31,-0.3156241204341085,-0.05168190101188138
2002-11-30,-0.27134415897182107,0.007026729731324487
2002-12-31,-0.2799513403681454,0.010609704163304238
2003-01-31,-0.28262787111511867,0.007610105342289689
2003-02-28,-0.3292473594979948,-0.05151617052164001
2003-03-31,-0.32203831391559545,-0.04082773201171769
2003-04-30,-0.2872808136805679,0.0013963755539898532
2003-05-31,-0.2504950441551357,0.03593460071221473
2003-06-30,-0.2088282927822599,0.10441946714244371
2003-07-31,-0.20518818795443916,0.12918014719115745
2003-08-31,-0.20759775018740767,0.15822799947131772
2003-09-30,-0.18364628020835017,0.21510177194714727
2003-10-31,-0.16819718257200877,0.26959774989426716
2003-11-30,-0.15925673752268166,0.3190269519126979
2003-12-31,-0.13464303112717213,0.38001059874942744
2004-01-31,-0.09309704403406516,0.4106132172415024
2004-02-29,-0.08441747664973198,0.42298344327297926
2004-03-31,-0.09993514989139884,0.40873896898309425
2004-04-30,-0.09264774457597358,0.44548500080939335
2004-05-31,-0.11690918380161786,0.3734178200913633
2004-06-30,-0.09290513042515725,0.41250890707852317
2004-07-31,-0.11445465288805445,0.39731536109312415
2004-08-31,-0.12799725905072934,0.3538390781828567
2004-09-30,-0.10499774546737917,0.4091301564286228
2004-10-31,-0.10466790671656878,0.4239818060689382
2004-11-30,-0.06393235783286544,0.5027931303364419
2004-12-31,-0.039691058051028794,0.552753726873706
2005-01-31,-0.05394627052452561,0.5277656024206282
2005-02-28,-0.039356891204366584,0.580067080826464
2005-03-31,-0.04314389657674078,0.5941828849960458
2005-04-30,-0.06754390572708258,0.5190564474341524
2005-05-31,-0.05645455273995881,0.5151867580491462
2005-06-30,-0.0372537702002016,0.5558689532231054
2005-07-31,-0.021251019129616577,0.6280854803300371
2005-08-31,-0.01962302431802776,0.6351528357300321
2005-09-30,-0.01830591457656483,0.6473951057198188
2005-10-31,-0.045492952395632225,0.6225648224007604
2005-11-30,-0.009133889265266815,0.71302478569156
2005-12-31,0.010648178061070324,0.7566940795623958
2006-01-31,0.023981716967736988,0.8101216854593691
2006-02-28,0.022318309646549794,0.8576838185823591
2006-03-31,0.03600332533297168,0.9221473869628117
2006-04-30,0.04275433634603498,0.9914514344980447
2006-05-31,0.03302348375563402,0.9352671728917747
2006-06-30,0.0035182040238035395,0.8516511243427354
2006-07-31,0.009176809515536233,0.8476364361659361
2006-08-31,0.030729988037316636,0.8691506027631386
2006-09-30,0.05522875681647044,0.9221143703004919
2006-10-31,0.09177197881227217,0.9857049278058855
2006-11-30,0.11199779651649822,1.0240755056905686
2006-12-31,0.1342478089002641,1.0575944601053224
2007-01-31,0.1404466682982688,1.0673801459470584
2007-02-28,0.15696987420183528,1.1594675194916926
2007-03-31,0.12666582794768955,1.1124878012505737
2007-04-30,0.1720612705844633,1.1905031185853283
2007-05-31,0.21009560039972475,1.3256603458564717
2007-06-30,0.2127803971207889,1.331449108054948
2007-07-31,0.21775746692337683,1.3721222998895388
2007-08-31,0.16483535273633443,1.1993604824292383
2007-09-30,0.19886820598048183,1.270013790073959
2007-10-31,0.23293549099242994,1.3546715067743933
2007-11-30,0.1718568570462664,1.1800047575221508
2007-12-31,0.18453989876692978,1.2286881253449227
2008-01-31,0.10409328968338483,1.0206166506223597
