Date,SNP 500,Aggregated_G2G_Mean,Aggregated_ETHICAL_Mean,Aggregated_FOE_Mean
1999-01-31,0.0,0.0,0.0,0.0
1999-02-28,-0.0017558174956547876,0.005274366501707638,-0.020385265507014846,-0.0012847980932559036
1999-03-31,0.026337158866841515,0.010313677339328135,-0.016097824426700453,0.06054598766622875
1999-04-30,0.06885303155216982,0.0473891803129254,0.029479334495455138,0.14849737770918012
1999-05-31,0.06670480557911196,0.0438142054410478,0.07573577557136489,0.2103894019796032
1999-06-30,0.059080310474972864,-0.00029454919927905817,0.08653668638712385,0.21774438219368286
1999-07-31,0.10587599414251003,0.026578277637343658,0.12587362981683012,0.25425163547892443
1999-08-31,0.06303291977676295,-0.01789254677655325,0.09606117650417052,0.2262056778572761
1999-09-30,0.05557220754271208,-0.033201073050474345,0.06893708448362182,0.24411982346277555
1999-10-31,0.04102843612795004,-0.054564454734866666,0.03829191737172222,0.32683882751957355
1999-11-30,0.1138941307720649,0.009684995787724351,0.0915672065986528,0.6142555929670269
1999-12-31,0.14406870410069786,-0.01900604876063974,0.12157713463764605,0.8872336046204508
2000-01-31,0.14158740071541145,-0.05232672283158615,0.14238260582385734,1.087137686687618
2000-02-29,0.11218978111202672,-0.1112775920287844,0.11859249620212768,1.113651839125729
2000-03-31,0.15490212762117614,-0.17664473391571736,0.13832046515321686,1.194630989117775
2000-04-30,0.17023127984878686,-0.11553189223450655,0.195450794207031,1.1345710568358651
2000-05-31,0.13589705779325367,-0.12455587543753065,0.1849041923126764,0.9389465341971044
2000-06-30,0.17071482027377338,-0.1447788687794867,0.20314889592404115,0.7399864286642367
2000-07-31,0.17955821390302962,-0.13796407142919748,0.2216197317857976,0.6938000722206076
2000-08-31,0.18953259965134928,-0.1168788837204956,0.2161099570691738,0.6973508199376068
2000-09-30,0.17559553569393604,-0.0867794712081721,0.20240437981919465,0.7781842204901405
2000-10-31,0.1132064523810694,-0.05355693562924407,0.14398444760928525,0.8108767895699597
2000-11-30,0.10110940316117788,0.012371277719292806,0.17362255661367187,0.9066919112598572
2000-12-31,0.06578829685492016,0.04132298586961406,0.17014715553208387,0.9220531517439672
2001-01-31,0.0695596393560205,0.002871818796802773,0.18608073363464475,0.8282362901165022
2001-02-28,0.045626199488612906,0.052305546794681836,0.180654671177972,0.7630958902295367
2001-03-31,-0.050389173197997406,0.02655271826571533,0.12426477233115148,0.5155300285528499
2001-04-30,-0.047196451147195166,-0.00017813365530989285,0.1135756558723609,0.5477986381361538
2001-05-31,0.017292070208677842,0.03355600373994862,0.1964216345191403,0.7231399388583886
2001-06-30,-0.008059314749332414,0.035262847673220216,0.17895596981630213,0.6895508204660973
2001-07-31,-0.03549496400579,0.009256246076997562,0.12074656633718167,0.7425434377769582
2001-08-31,-0.056271804540996014,0.04375060553973858,0.10504265838535846,0.7064644104303124
2001-09-30,-0.16346482306952914,-0.012414104741322663,-0.006188818976149625,0.3776181907940721
2001-10-31,-0.1378825918346508,-0.020989656037431626,0.015246543002390204,0.44890428203420535
2001-11-30,-0.0953666019682724,0.0008130928184053957,0.08084325555155665,0.6407333042625548
2001-12-31,-0.0831572912058276,0.008000477658855476,0.132810079624988,0.7415779853675978
2002-01-31,-0.08693890744924637,0.028687632140792733,0.13001649403166676,0.6860700766030461
2002-02-28,-0.1186008911181391,0.06377724848484162,0.11429518439269043,0.7031399697062634
2002-03-31,-0.07606154192362358,0.10093765366171747,0.1911592553342379,0.7935366850281476
2002-04-30,-0.10949948864677306,0.11309684402146496,0.19384894972920835,0.7553078867425467
2002-05-31,-0.1357390184239683,0.10539846739555933,0.17740043994280816,0.7273647303645019
2002-06-30,-0.1879656285980156,0.07018791758107172,0.11642912899373314,0.595576273056162
2002-07-31,-0.27642237466909225,-0.012438790901420268,0.018842994480062943,0.4374055748409902
2002-08-31,-0.2692418832307211,0.004550454669584296,0.01609746669477951,0.38324994201796586
2002-09-30,-0.3050692161812186,-0.048898350598699146,-0.030231784471614287,0.4140060454644473
2002-10-31,-0.3156241204341085,-0.08374392956453497,-0.05168190101188138,0.4667608959271272
2002-11-30,-0.2713441589718211,-0.09021851731723728,0.007026729731324487,0.6011707085461112
2002-12-31,-0.2799513403681454,-0.11786321216060199,0.010609704163304238,0.5992046397166617
2003-01-31,-0.2826278711151187,-0.11405041345651787,0.0076101053422896895,0.5383957536903093
2003-02-28,-0.3292473594979948,-0.16051597082190294,-0.051516170521640016,0.4841729439806206
2003-03-31,-0.32203831391559545,-0.15941507050645168,-0.04082773201171769,0.5214780094337467
2003-04-30,-0.2872808136805679,-0.11189083614409599,0.0013963755539898534,0.5717551885495065
2003-05-31,-0.2504950441551357,-0.0735123797267776,0.03593460071221473,0.638532887839208
2003-06-30,-0.2088282927822599,-0.03412011235628128,0.10441946714244373,0.8029663918909997
2003-07-31,-0.2051881879544392,-0.056001713731071295,0.12918014719115745,0.9450066884389378
2003-08-31,-0.20759775018740767,-0.06791359837679868,0.15822799947131772,1.0026902949101706
2003-09-30,-0.18364628020835014,-0.03677645979705292,0.21510177194714727,1.1461730541908612
2003-10-31,-0.16819718257200875,-0.00207216609052199,0.2695977498942672,1.2412190935428524
2003-11-30,-0.15925673752268166,0.02451508601967662,0.3190269519126979,1.3020753443087776
2003-12-31,-0.13464303112717213,0.04505509685802348,0.38001059874942733,1.323372625047103
2004-01-31,-0.09309704403406516,0.05098779241100526,0.4106132172415024,1.4848824891659185
2004-02-29,-0.08441747664973198,0.08005197936227001,0.4229834432729793,1.5052512528010369
