Date,^GSPC,MMM,ADBE,AMZN,ADSK,SAM,KMX,CMG,CB,CTSH,CL,COST,DIS,FDX,JWN,QCOM,SLB,LUV,SBUX,TROW,UPS
1999-01-31,-0.116887943139951,-0.2991114381079085,-0.18095935242938854,-0.10865950181912978,-0.19222338809928471,-0.262068899392202,-0.33644735612246207,,-0.27940616634776344,-0.32247870471717044,-0.40789387464897187,-0.2203063618240597,-0.15462479256954142,-0.26835882815048756,-0.2520086726617347,-0.5523576452621582,-0.36189254038067076,-0.17020014878898873,-0.3046744577642766,-0.2966938653990977,
1999-02-28,-0.11791044240340016,-0.2958742458821104,-0.18322258843868588,-0.11501588689329535,-0.1972892117029255,-0.26380353057296085,-0.3399351001412576,,-0.30435763640930474,-0.3208005458339703,-0.3895759681442751,-0.20706034853977848,-0.15140295335306383,-0.26099556398086854,-0.22320161138138553,-0.5464575479298405,-0.3595515426229845,-0.15083336859400345,-0.30680672330071584,-0.3104244867765533,
1999-03-31,-0.1015505145009641,-0.2997337669950974,-0.1804809219601606,-0.10856010258039761,-0.19861877112025272,-0.26542906545304307,-0.3422920088114352,,-0.27804903620951327,-0.32246138089651105,-0.3643456077642993,-0.18479243549530172,-0.1513933370560755,-0.24289478285505148,-0.23403827281409387,-0.5308055813997822,-0.3235951741650716,-0.1300762526096463,-0.29849689547108216,-0.29786310727163823,
1999-04-30,-0.07679142159225849,-0.2915760476567415,-0.17602619638921277,-0.09643007997388203,-0.21853850581278228,-0.2662976798089068,-0.34292864582057225,,-0.28979439367246307,-0.3252984285073008,-0.3391136888114906,-0.19117309972796642,-0.16301481708809964,-0.216275716590524,-0.2375836241419856,-0.46568243809270504,-0.3069529975897905,-0.12257793520441547,-0.2916637575202611,-0.29688057476984603,
1999-05-31,-0.07804243969670847,-0.26137829890196757,-0.16958260913359374,-0.10878638599704199,-0.2229652041470868,-0.26598872947551433,-0.33688013411503825,,-0.27218823861998065,-0.324946241441409,-0.3356200652939378,-0.21034469376716505,-0.19572855565494288,-0.2000894862204965,-0.26725721043279954,-0.42982651818943274,-0.29907229907126104,-0.12340085099121495,-0.2834171875817413,-0.28180006958397147,
1999-06-30,-0.08248255983872071,-0.26580170149553495,-0.16748729132843249,-0.11442081910746679,-0.2238789271172688,-0.26639952663678956,-0.3316952082298903,,-0.2955578276182868,-0.32490584233345854,-0.3198408480659413,-0.21884249191700658,-0.19620867242805784,-0.21838817186287637,-0.27117538156280985,-0.4080406077310312,-0.2998600408756488,-0.12670280316387772,-0.2846316887854613,-0.29378176284190727,
1999-07-31,-0.05523112157644604,-0.2651427869380656,-0.16257423052449477,-0.11233872710910262,-0.22158563179940124,-0.2636326130352341,-0.34017713580342146,,-0.31812485539771207,-0.3245532430789705,-0.32892395355196147,-0.20380685233921098,-0.214827523958446,-0.23861677825772412,-0.26534384058103583,-0.35378256085952275,-0.2957979574809423,-0.13184846758457314,-0.30612687385529314,-0.2916067476773918,
1999-08-31,-0.08018076018711416,-0.24898963302329977,-0.1597784886772526,-0.11583646208635126,-0.22741669984609864,-0.26460935552114073,-0.3452865832033563,,-0.3384428866092561,-0.3248546219885839,-0.3182983652055539,-0.21656207706980113,-0.21473139660389925,-0.26398369502586194,-0.298025000461685,-0.331204419086943,-0.2787587442524094,-0.17021379747259677,-0.31355328524692977,-0.3058468193720654,
1999-09-30,-0.08452550147315466,-0.24781606330851713,-0.15390044517298437,-0.10965221026158649,-0.22830350523079912,-0.2666530220453965,-0.34579560381047064,,-0.3652158827221219,-0.3247882863144743,-0.30590022670081035,-0.23023657671162714,-0.217142375318111,-0.26962932046318155,-0.3188405168851555,-0.3098358842118275,-0.2853489325688565,-0.1891469219561777,-0.31121796074574265,-0.32240346069866777,
1999-10-31,-0.09299505801657065,-0.2556574064692493,-0.14603717394167764,-0.10226276940781337,-0.2352698132268298,-0.266011431896179,-0.3498362828566362,,-0.38524797298139246,-0.3219197759105602,-0.28917997959080977,-0.21435650209209858,-0.23980507649821858,-0.2707300545241264,-0.3268333332531,-0.2632990686363142,-0.3177471854869602,-0.1803178437579636,-0.3094665336014037,-0.3197496221617717,
1999-11-30,-0.050561764528664024,-0.24709411649061927,-0.13467998752847188,-0.10398210979976161,-0.23034168267941943,-0.26792633172615116,-0.3510869692280685,,-0.3666881744338278,-0.3176855961010381,-0.2571550973465753,-0.19262228656923355,-0.23080286841654613,-0.2622441628682377,-0.34022283381832674,-0.06060478458272788,-0.29125984868841853,-0.17834827984302698,-0.30105327209440436,-0.2871791701183867,-0.12115520546119525
1999-12-31,-0.03298961988391825,-0.25127365896529685,-0.142118867443478,-0.09641053338122861,-0.2141573115645508,-0.26870790518065246,-0.35279857288463684,,-0.3860125101374711,-0.30981135407695104,-0.2328371660647489,-0.17790801819577381,-0.2093914513203951,-0.27095680457711435,-0.33051381984150136,0.15979471704472925,-0.3188384781686227,-0.18560255485344612,-0.3054584650389012,-0.2927251818335084,-0.12790469701731577
