Date,^GSPC,ABT,CC,FNMA,PG,KMB,KR,NUE,PM,PBI,WBA,WFC
1999-01-31,-0.116887943139951,-0.1587140946650908,,0.48045075996034076,-0.2921948017843837,-0.2886957214078415,-0.0467798015726751,-0.3732369332070787,,0.5580982963725363,-0.2644123965693113,-0.3131752165629644
1999-02-28,-0.11791044240340016,-0.16539633255285824,,0.4764204144661921,-0.2814100149406111,-0.3236722982047514,-0.014089371142135841,-0.37731616188184114,,0.5971750571210266,-0.22784382965514383,-0.33542105953332696
1999-03-31,-0.1015505145009641,-0.14523786771395908,,0.462476678007753,-0.24369054873683094,-0.3141355519219263,-0.006219490906601804,-0.3861184381827987,,0.5429400508242982,-0.24801681022740213,-0.30986372584921984
1999-04-30,-0.07679142159225849,-0.12832548951879302,,0.4588009290326878,-0.21722705376143495,-0.2577959704732205,-0.051655463254139146,-0.34752252211567447,,0.5827551461259705,-0.2864545310880125,-0.27885430144823653
1999-05-31,-0.07804243969670847,-0.15498680408968335,,0.45181769864632837,-0.24809117169036682,-0.18648754178220694,-0.07971932454277943,-0.34184455692878424,,0.6062590657498194,-0.3090531536443109,-0.26949899407423195
1999-06-30,-0.08248255983872071,-0.17875842632092995,,0.41059781143835467,-0.2802415271844325,-0.21752275236848942,-0.06203806752438806,-0.3737915839793303,,0.5597236560350513,-0.2988475449030151,-0.2743584149176979
1999-07-31,-0.05523112157644604,-0.18885542325369298,,0.4560394995262947,-0.28879871010096964,-0.22493336619498588,-0.048736392404995735,-0.3659121745338575,,0.5994640937258632,-0.2619305618217772,-0.2609995350088902
1999-08-31,-0.08018076018711416,-0.19139322176574625,,0.4016171309501242,-0.2321332502632613,-0.20167448066750993,-0.11043103285166546,-0.3659819939271347,,0.4669394644022879,-0.3097307896371937,-0.28566889299683756
1999-09-30,-0.08452550147315466,-0.19104957087873886,,0.37478974674203586,-0.19926460762699857,-0.24187960987393695,-0.11802139755966551,-0.3719869466058733,,0.5044894669334299,-0.3233695585098193,-0.2965615078343651
1999-10-31,-0.09299505801657065,-0.22415262200939481,,0.3979432710648704,-0.2120816820945384,-0.23866512668347026,-0.15412343556157213,-0.3769843666510697,,0.3937260954524026,-0.31936827931374934,-0.26209147940270144
