Date,^GSPC,ABT,CC,FNMA,PG,KMB,KR,NUE,PM,PBI,WBA,WFC
1999-01-31,1248.7747353001644,20.976518028660823,,71.39144736842105,43.86677631578947,49.133950885973476,14.555921052631579,11.752467105263158,,64.6217105263158,28.57236842105263,18.70394736842105
1999-02-28,1246.5821147717927,20.602188110351562,,71.05263157894737,44.55921052631579,45.9359389857242,15.689144736842104,11.467927631578947,,67.02302631578948,31.101973684210527,17.582236842105264
1999-03-31,1281.663913892663,21.731438014818274,,69.8804347826087,46.98097826086956,46.80791191432787,15.96195652173913,10.853940217391305,,63.69021739130435,29.706521739130434,18.870923913043477
1999-04-30,1334.7566615513392,22.67884654090518,,69.57142857142857,48.680059523809526,51.95920653570266,14.386904761904763,13.546130952380953,,66.13690476190476,27.047619047619047,20.43452380952381
1999-05-31,1332.0740112304688,21.185315799713134,,68.984375,46.6984375,58.47914714813233,13.4140625,13.9421875,,67.58125,25.484375,20.90625
1999-06-30,1322.552734375,19.853661710565742,,65.51917613636364,44.63423295454545,55.64150602167303,14.026988636363637,11.713778409090908,,64.7215909090909,26.19034090909091,20.66122159090909
1999-07-31,1380.990001860119,19.288041614350817,,69.33928571428571,44.08482142857143,54.963931674049014,14.488095238095237,12.263392857142858,,67.16369047619048,28.74404761904762,21.334821428571427
1999-08-31,1327.488653009588,19.14587757804177,,64.76420454545455,47.72301136363637,57.090560392899945,12.349431818181818,12.258522727272727,,59.01988636363637,25.4375,20.09090909090909
1999-09-30,1318.1719040643602,19.165128435407365,,62.50892857142857,49.833333333333336,53.41448647635324,12.086309523809524,11.839657738095237,,61.32738095238095,24.49404761904762,19.541666666666668
1999-10-31,1300.010009765625,17.310740334647043,,64.45535714285714,49.010416666666664,53.70839618501209,10.834821428571429,11.491071428571429,,54.520833333333336,24.770833333333332,21.279761904761905
1999-11-30,1391.0028483072917,16.990096682593936,,68.75,54.28199404761905,62.402981349400115,11.327380952380953,12.661458333333334,,47.61607142857143,27.651785714285715,23.31547619047619
1999-12-31,1428.6840931285512,16.380099773406982,,63.47159090909091,55.07776988636363,61.844247644597836,8.7734375,13.633522727272727,,45.06107954545455,29.8046875,21.350852272727273
2000-01-31,1425.5855041503905,14.824951601028442,,58.984375,54.41875,61.74496631622314,8.9796875,13.2171875,,46.74375,28.934375,19.103125
2000-02-29,1388.8744995117188,15.126556730270385,,55.2125,46.54375,54.975131797790525,8.165625,12.27578125,,49.24375,28.09375,18.2046875
2000-03-31,1442.212598717731,14.79421155349068,,55.84986413043478,31.33423913043478,49.25695137355638,7.978260869565218,12.277173913043478,,46.63315217391305,25.97350543478261,18.374320652173914
2000-04-30,1461.3552567331415,17.211804640920537,,61.30263157894737,32.39967105263158,56.01251481708727,9.618421052631579,11.804276315789474,,42.86513157894737,27.578125,20.736842105263158
2000-05-31,1418.4795476740057,17.827868808399547,,59.09090909090909,31.882457386363637,57.192702380093664,9.926136363636363,10.379971590909092,,40.44460227272727,27.873579545454547,21.397727272727273
2000-06-30,1461.9590897993608,18.548405907370828,,58.32173295454545,28.802911931818183,55.16007683493874,9.783025568181818,9.102627840909092,,40.72301136363637,28.897727272727273,21.105113636363637
2000-07-31,1473.0024963378905,18.91836643218994,,53.709375,28.61328125,55.37212371826172,10.85234375,8.9875,,37.3875,31.5890625,21.14375
2000-08-31,1485.45825726053,18.635790783426035,,55.359375,30.300611413043477,56.44579265428626,10.816236413043478,9.464164402173912,,35.79415760869565,33.228940217391305,22.060122282608695
2000-09-30,1468.05400390625,20.27629156112671,,62.82109375,31.454296875,52.28607349395752,11.2546875,8.5109375,,37.703125,36.965625,22.755859375
2000-10-31,1390.144092906605,22.363425861705434,,72.74431818181819,36.43465909090909,57.16137851368297,10.725852272727273,7.777698863636363,,28.957386363636363,40.16477272727273,22.191761363636363
2000-11-30,1375.0376034691221,23.80510684422084,,77.0952380952381,36.086309523809526,63.524403345017205,12.50297619047619,8.652529761904763,,28.9375,43.273809523809526,22.885416666666668
2000-12-31,1330.9294982910155,22.388931274414062,,83.640625,36.7734375,64.76522026062011,12.871875,9.746875,,30.640625,40.471875,25.6671875
2001-01-31,1335.6390555245537,19.92633601597377,,77.35940479096912,35.923571268717446,62.3654298328218,11.991428556896391,9.946369080316453,,34.119166782924104,38.67845226469494,25.292857124691917
2001-02-28,1305.7515804893092,21.60890709726434,,80.09526182475842,37.08552631578947,65.79805193449322,12.24394733027408,10.841710542377673,,35.1531578867059,42.612631145276524,24.971052772120427
2001-03-31,1185.850008877841,20.808188091624867,,77.8850000554865,32.847045551646836,65.99058619412509,12.041818228634922,10.901704441417348,,35.00681825117631,42.15045460787687,24.172045534307305
2001-04-30,1189.8369995117187,20.727100372314453,,78.48999938964843,29.62474994659424,60.94774684906006,11.330249977111816,11.424125051498413,,35.9435001373291,40.68049983978271,23.653750228881837
2001-05-31,1270.3686356977983,22.50870635292747,,78.87499930641867,32.566818410700016,56.93236333673651,12.169545477086848,12.791363629427822,,39.62090873718262,41.13090913945978,23.30340896953236
2001-06-30,1238.7104666573662,22.99484071277437,,83.82047598702567,31.846904482160294,55.87545122419085,12.525000027247838,12.790357135591053,,40.237142835344585,39.664761497860866,22.89714277358282
2001-07-31,1204.4495210193452,22.6322998773484,,84.27428508940197,34.08642832438151,54.65780912126814,12.513809476579938,12.235237984430222,,41.64809508550735,33.02999986921038,23.064999989100865
2001-08-31,1178.5039274796195,23.39320066700811,,82.22521740457286,36.681304268215015,59.16420065838358,13.091956470323646,12.13380419689676,,42.45130456012228,35.76782641203507,23.30195659139882
