Date,^GSPC,MMM,ADBE,AMZN,ADSK,SAM,KMX,CMG,CB,CTSH,CL,COST,DIS,FDX,JWN,QCOM,SLB,LUV,SBUX,TROW,UPS
1999-02-05,1239.4000244140625,39.09375,5.7578125,57.9375,10.390625,9.4375,2.40625,,26.875,0.7916666865348816,21.0,38.46875,33.78762435913086,41.28125,20.234375,4.19140625,26.5,12.166666984558105,3.1171875,16.90625,
1999-02-08,1243.77001953125,38.25,5.796875,54.5625,10.578125,9.25,2.4375,,26.8125,0.8046875,20.609375,38.5625,33.54100036621094,41.65625,20.96875,4.359375,26.0625,12.166666984558105,3.12890625,16.6875,
1999-02-09,1216.1400146484375,37.625,5.4609375,50.0,10.28125,9.375,2.4375,,25.9375,0.8046875,20.640625,36.90625,33.04774856567383,41.53125,19.8125,4.24609375,25.1875,12.333333015441895,3.05078125,16.0625,
1999-02-10,1223.550048828125,37.6875,5.5546875,48.71875,10.34375,8.875,2.28125,,26.0,0.9166666865348816,21.15625,38.40625,33.602657318115234,39.9375,20.1875,4.15625,25.40625,12.527777671813965,3.0,15.6875,
1999-02-11,1254.0400390625,38.4375,5.6328125,54.9375,10.53125,8.875,2.3125,,27.75,0.9166666865348816,21.8125,40.5625,34.712467193603516,43.1875,20.65625,4.2578125,25.96875,12.44444465637207,3.109375,16.34375,
1999-02-12,1230.1300048828125,38.6875,5.4453125,52.25,10.59375,8.4375,2.21875,,27.0,0.921875,21.703125,39.125,34.9590950012207,41.375,19.71875,4.18359375,25.15625,12.75,3.001953125,15.65625,
1999-02-16,1241.8699951171875,38.21875,5.28125,49.3125,10.53125,8.4375,2.15625,,28.5,0.890625,21.671875,40.96875,34.58915710449219,41.75,20.3125,4.2109375,24.84375,12.916666984558105,3.0,15.5,
1999-02-17,1224.030029296875,38.03125,4.96875,46.75,10.34375,8.25,2.09375,,28.1875,0.8098958134651184,21.5,40.78125,34.4041862487793,42.6875,20.28125,4.06640625,24.3125,12.88888931274414,2.91015625,15.21875,
1999-02-18,1237.280029296875,38.15625,5.28125,44.75,10.0625,8.5,2.0,,28.25,0.796875,21.875,41.90625,34.03424835205078,42.0,20.375,3.994140625,25.125,13.11111068725586,2.93359375,15.53125,
1999-02-19,1239.219970703125,38.375,5.2890625,50.9375,10.390625,8.375,2.125,,28.75,0.8020833134651184,21.4375,40.8125,33.66431427001953,43.0625,20.5625,4.0546875,24.59375,13.333333015441895,3.0234375,15.28125,
1999-02-22,1272.1400146484375,39.25,5.46875,53.25,10.15625,8.3125,2.1875,,29.25,0.8619791865348816,22.015625,41.0,34.4041862487793,45.0625,21.9375,4.4609375,24.25,13.44444465637207,3.1171875,15.875,
1999-02-23,1271.1800537109375,38.90625,5.46875,57.59375,10.28125,8.125,2.21875,,28.75,0.8828125,21.734375,42.125,34.4041862487793,44.9375,20.84375,4.6015625,24.0625,13.583333015441895,3.2734375,16.171875,
1999-02-24,1253.4100341796875,38.09375,5.4375,55.46875,10.515625,8.0,2.25,,28.25,0.921875,21.515625,41.625,34.58915710449219,46.71875,19.90625,4.546875,24.03125,13.777777671813965,3.25,15.28125,
1999-02-25,1245.02001953125,37.625,5.3828125,62.5,10.265625,7.9375,2.21875,,28.0,0.9427083134651184,21.3125,40.5625,34.03424835205078,47.125,19.78125,4.546875,24.4375,13.61111068725586,3.20703125,14.9375,
1999-02-26,1238.3299560546875,37.03125,5.03125,64.0625,10.03125,7.625,2.25,,27.25,0.8958333134651184,21.21875,40.15625,34.712467193603516,47.625,20.125,4.5625,24.28125,13.38888931274414,3.3046875,15.40625,
1999-03-01,1236.1600341796875,36.78125,5.0234375,66.5,10.21875,7.875,2.21875,,27.1875,0.8203125,21.125,42.1875,34.342533111572266,46.90625,21.03125,4.5234375,24.34375,13.38888931274414,3.3671875,16.0,
1999-03-02,1225.5,37.1875,5.078125,60.65625,10.1875,7.8125,2.21875,,28.6875,0.8203125,21.484375,41.15625,33.72596740722656,46.34375,20.15625,4.609375,24.75,13.94444465637207,3.421875,16.46875,
1999-03-03,1227.699951171875,37.40625,5.0234375,61.75,10.28125,8.0,2.125,,28.625,0.8072916865348816,21.6875,41.8125,34.03424835205078,45.875,21.03125,4.5703125,25.875,13.777777671813965,3.4140625,16.4375,
1999-03-04,1246.6400146484375,37.59375,5.703125,60.0625,10.09375,8.0625,2.1875,,30.25,0.75,22.59375,43.375,34.712467193603516,46.34375,21.0,4.65234375,28.1875,13.472222328186035,3.53515625,16.9375,
1999-03-05,1275.469970703125,38.5625,5.7734375,60.75,10.1875,8.0625,2.25,,31.25,0.7708333134651184,23.140625,45.28125,35.32903289794922,47.84375,19.875,4.78515625,27.5,13.61111068725586,3.671875,17.5625,
